transaction_id,user_id,amount,timestamp,location,transaction_type,unusual_device_flag,unusual_ip_flag,unusual_location_flag,transaction_velocity,failed_transaction_count,otp_request_frequency,is_fraud,anomaly
7d4e9561-000c-44c8-84e4-54af2c4ac209,michelle89,1960.754748,18:27.7,"(14.5837385, 85.305345)",payment,0,0,0,0,0,0,0,1
fbf88cde-dc62-4f36-ac10-a1b1fd771793,eguerrero,4593.854621,34:55.5,"(-41.063726, -164.178102)",payment,0,0,0,0,0,0,0,1
d746c963-baaa-46a0-80f4-b050e14e1c7d,alexanderpatrick,1949.587163,49:42.8,"(52.1582705, -162.522989)",payment,0,0,0,0,0,0,0,1
e5f8a1cc-4bf6-46d2-b9b2-aa393ff4e244,timothy32,2825.569899,16:29.9,"(48.549751, -163.02585)",payment,0,0,0,0,0,0,0,1
34309820-3aec-4fa4-9518-03437830e1e0,billycalhoun,6509.628443,39:44.7,"(-61.0860645, 18.331554)",payment,1,1,1,0,0,0,1,1
766452f2-3b87-4acb-8892-b93352999ccf,zacharynielsen,2370.595249,02:41.8,"(-19.118666, -76.580035)",payment,0,0,0,0,0,0,0,1
31de092d-42dc-49e1-9240-e3de481c28cb,hfrye,2321.374692,17:02.2,"(21.4600315, 87.557356)",payment,0,0,0,0,0,0,0,1
5a978142-7a92-4e57-942e-f993c966aaee,rogerjohnson,2438.345336,07:36.1,"(-1.5485825, -97.457314)",payment,0,0,0,0,0,0,0,1
007de78c-9f8b-4711-9c88-0ae51bacc3a1,linda77,241.6841244,13:49.7,"(42.9735365, 19.40569)",payment,0,0,0,0,0,0,0,1
ce10415b-7124-4e40-97eb-b8046d53f132,crystal81,4982.700905,00:36.2,"(23.476609, 139.403133)",payment,0,0,0,0,0,0,0,1
2d000434-35e1-43c0-85d6-5ff035ba2a86,rebecca08,8313.615976,44:41.8,"(-21.9412285, 151.189197)",payment,0,0,0,0,0,0,0,1
9ae25602-c7cb-4641-82e0-c8c64cecb42f,randy51,5096.351389,31:43.2,"(74.5814915, -136.930963)",payment,0,0,0,0,0,0,0,1
3c68b739-8704-4292-a101-40c90bec34de,douglasjames,3886.031091,07:23.1,"(28.024417, -25.075664)",payment,0,0,0,0,0,0,0,1
af33f3ac-9c62-4c44-b873-7e901d13e78a,sburke,1832.847527,35:18.0,"(-6.0528045, -87.416354)",payment,0,0,0,0,0,0,0,1
525c27b5-f0bb-465f-9cc6-46221d1d93ee,cruzmary,2809.730931,19:57.9,"(-21.9377845, 118.283233)",payment,0,0,0,0,0,0,0,1
1789d820-3c42-4027-830a-b3e5972c5ca4,sarah26,1971.147758,28:24.0,"(16.1643085, 74.053652)",payment,0,0,0,0,0,0,0,1
4db22c11-801a-40d5-ad02-06a5b5e9aeb5,mwilcox,2378.362545,30:36.9,"(78.0321985, 137.188268)",payment,0,0,0,0,0,0,0,1
d61f3ef0-0065-4fbc-9fe5-8dcb5df35bc2,johnrodriguez,7046.355041,10:00.4,"(-61.288882, 115.891423)",payment,1,1,1,0,0,0,1,1
cacd3356-8c50-43b8-b0ed-d0f4d3b7c4a2,nmorgan,3828.045827,48:35.0,"(65.5643025, -110.752501)",payment,0,0,0,0,0,0,0,1
64d07d05-9dcb-4bb0-adf7-6bead159a2db,ehurst,3263.18274,04:54.1,"(60.473041, -77.338567)",payment,0,0,0,0,0,0,0,1
37df7961-2c15-4c85-bc41-6870eec24b6d,petersmary,1258.317888,47:02.5,"(-29.3926675, -62.609061)",payment,0,0,0,0,0,0,0,1
43f8d7cf-1c13-4652-8acc-f29f778ba734,gthomas,2716.840462,46:19.2,"(67.4022, -138.531609)",payment,0,0,0,0,0,0,0,1
b3bb59d2-9a25-4e27-973a-0069275cdfc7,njackson,4311.931847,31:37.6,"(-1.209111, 127.29532)",payment,0,0,0,0,0,0,0,1
af247c18-0f17-4173-9f1a-9fe3d714f8d5,ewilliams,5235.832806,17:24.6,"(21.6542295, 17.472188)",payment,1,0,0,3,1,2,1,1
73babf5b-5906-49bf-8d41-ab4d78d9b64a,cheryl27,4077.320663,45:53.1,"(57.4637475, -69.829087)",payment,0,0,0,0,0,0,0,1
8a1d3219-b99a-4505-8ae3-85b7672cfee4,ljackson,7436.546605,43:28.3,"(-30.4812545, -115.922276)",payment,0,0,0,0,0,0,0,1
b0e518e7-fe53-4a63-93c7-ca628c163ce4,hcollins,5005.271891,04:58.0,"(-19.9732695, -169.359165)",payment,0,0,0,0,0,0,0,1
b1a74bb9-17b2-4d36-9f1b-90b3cdc2e129,krystal04,2145.670636,08:16.6,"(31.105403, 111.700089)",payment,0,0,0,0,0,0,0,1
3da5ae3f-d0a4-4b0e-b527-206e7b9e8ecd,evansbill,2485.879411,07:07.3,"(-69.961271, 47.987427)",payment,1,1,1,0,0,0,1,1
54f64d3c-020b-46a6-9f14-c5730dbaa7b0,melissastafford,8995.520849,45:19.3,"(-85.7026235, -52.327)",payment,0,0,0,0,0,0,0,1
e3b2be07-c367-4fc4-8beb-396027829e81,heathercobb,2635.239436,22:24.0,"(-82.894129, -148.328505)",payment,0,0,0,0,0,0,0,1
e5f39f6e-c7b6-40a2-97bd-2da387148516,icooke,8766.586449,12:40.6,"(-34.487131, 153.510763)",payment,0,0,0,0,0,0,0,1
6e2a3899-98e7-4fdb-8d14-cfe8e78a4b29,adam76,6466.036626,14:48.2,"(-85.485172, -50.544247)",payment,0,0,0,0,0,0,0,1
5d7e5028-4347-4a63-8897-299c1ec981de,evanscarol,9723.093184,53:00.8,"(55.1109865, 63.758942)",payment,0,0,0,0,0,0,1,1
4c152711-e9ce-461b-9ad3-84c0b17c819d,xbeard,9184.986215,24:05.8,"(-44.9562105, -11.07507)",payment,1,1,1,0,0,0,1,1
a41da122-ec58-446d-b81a-1f18938aca00,brownkaren,5855.391554,26:31.3,"(52.899374, -130.663102)",payment,0,0,0,0,0,0,0,1
03b299b8-1324-471c-92e2-2ffdaf3686ea,wardjoel,1658.345803,06:15.6,"(21.957452, 176.40889)",payment,0,0,0,0,0,0,0,1
e9cd555a-ee0a-4c07-aa43-3dc3e82930d4,evanscarol,3474.290218,07:26.1,"(11.7044785, -173.70654)",payment,0,0,0,0,0,0,0,1
6cc1edb5-a335-4a3f-b4a4-7fca673c7664,ohall,1409.558372,54:22.7,"(-22.1950125, 148.80966)",payment,0,0,0,0,0,0,0,1
f5f959a1-ec2f-471b-8110-f9ddd72f635b,brockjonathan,5054.601584,15:45.7,"(57.91037, 78.486619)",payment,0,0,0,0,0,0,0,1
c228fa6e-1864-48c8-a929-c39f42448330,thomaskelsey,2643.707286,32:30.6,"(65.0354235, 14.658601)",payment,0,0,0,0,0,0,0,1
ad30e9ea-b677-49b6-b221-113a1468898d,betty03,1579.202914,05:14.1,"(49.092942, 95.218318)",payment,0,0,0,0,0,0,0,1
6d04d0a5-34d1-4b0b-b2a8-c18585c49cf1,joshua47,4945.6079,27:30.5,"(-47.2817715, -161.022842)",payment,0,0,0,0,0,0,0,1
5e047373-8108-4301-b174-4c7fdc95e1ca,gomezjames,2008.17261,18:53.0,"(-42.3570365, 106.398376)",payment,0,0,0,0,0,0,1,1
4c0cfbb6-ad4d-46bb-a1bb-6cd6e1db276a,kathleen27,3107.38678,05:50.2,"(-66.614426, 1.344741)",payment,0,0,0,0,0,0,0,1
